"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"SF_SKU";"SPICEPREFIX";"VALUE";
"C22";"0.1uF";"CNP-0603";"0603";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";
"C23";"220uF@35V";"CAP_ELECTROLYTICPANASONIC_D";"PANASONIC_D";"Electrolytic Capacitors";"";"";"";"";"";"";"";"";
"C24";"220uF@35V";"CAP_ELECTROLYTICPANASONIC_D";"PANASONIC_D";"Electrolytic Capacitors";"";"";"";"";"";"";"";"";
"C25";"100nF";"CNP-0603";"0603";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";
"C26";"220uF@35V";"CAP_ELECTROLYTICPANASONIC_D";"PANASONIC_D";"Electrolytic Capacitors";"";"";"";"";"";"";"";"";
"C27";"220uF@35V";"CAP_ELECTROLYTICPANASONIC_D";"PANASONIC_D";"Electrolytic Capacitors";"";"";"";"";"";"";"";"";
"C28";"100nF";"CNP-0603";"0603";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";
"C29";"220uF@35V";"CAP_ELECTROLYTICPANASONIC_D";"PANASONIC_D";"Electrolytic Capacitors";"";"";"";"";"";"";"";"";
"C30";"220uF@35V";"CAP_ELECTROLYTICPANASONIC_D";"PANASONIC_D";"Electrolytic Capacitors";"";"";"";"";"";"";"";"";
"C31";"100nF";"CNP-0603";"0603";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";
"C32";"220uF@35V";"CAP_ELECTROLYTICPANASONIC_D";"PANASONIC_D";"Electrolytic Capacitors";"";"";"";"";"";"";"";"";
"C33";"220uF@35V";"CAP_ELECTROLYTICPANASONIC_D";"PANASONIC_D";"Electrolytic Capacitors";"";"";"";"";"";"";"";"";
"C34";"100nF";"CNP-0603";"0603";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";
"C35";"0.1uF";"CAP_CERAMIC0805";"0805";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C36";"10µF";"CAP_CERAMIC0603";"0603";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C37";"10µF";"CAP_CERAMIC0603";"0603";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
"C38";"0.1µF";"CAP_CERAMIC0603";"0603";"Ceramic Capacitors";"";"";"";"";"";"";"";"";
